index,type,params,density
0,Hopalong1,"[-0.5158644902594518, 0.8339880764969465, 0.3072867573770197, 0.6447403778147975]",0.0715
1,Hopalong1,"[-0.5861604520966763, 0.6383253381243768, 0.6172091571253044, -0.7666249660207152]",0.2732
2,Hopalong1,"[-0.6247202683361661, -0.19365639515510802, -0.13449091511250488, -0.34578894926995973]",0.2528
3,Clifford,"[-0.0424115083672818, 0.5397900156471971, 1.2855260547312204, 1.9444413069334936, -1.2086422897213978, -0.4108166905394661]",0.1951
4,Clifford,"[-0.9099015260051779, 0.005034009523009253, 1.037817544014691, 1.5288510771337207, 0.3631729833544859, 1.7804621593561438]",0.097
5,Hopalong1,"[-0.7534604628767612, -0.8907579932054799, 0.7676271599174336, -0.6239604128693126]",0.1617
6,De_Jong,"[-0.21361695202455633, -0.3847575947855575, 1.9949777861820377, -0.07196357935624809, -1.8666667631724359, 0.5415756758057868]",0.7046
7,Clifford,"[0.1347178193155525, 0.6948653603717037, -0.9498237577619513, -1.0122329714593357, 1.9761033948049431, 1.0330211664064732]",0.2904
8,Hopalong1,"[0.16290438204191116, -0.025489715736028984, -0.022099928206962938, -0.22540628726688272]",0.3841
9,Fractal_Dream,"[-0.23980376905068512, 0.1534351907688598, -1.519605768629635, 1.0956926508275604, -1.1431400104356721, 1.7664793032367028]",0.5085
10,Hopalong1,"[-0.3221155655139327, 0.38183380427736835, 0.31688609039420745, -0.4297142831737788]",0.1202
11,De_Jong,"[-0.08488198127002033, -0.9556983372034871, -1.2186298901796908, 1.1800009743815512, -1.6262690748358288, 1.5002038978918821]",0.4353
12,Hopalong1,"[-0.7625571829890296, 0.27736703139201024, -0.20377145166235655, 0.3440724374959563]",0.1034
13,Clifford,"[0.7457823881506107, -0.9482028208622313, -1.9981751586994725, -1.6667377101048775, -1.7585605628647376, 1.0599747371190582]",0.8617
14,Clifford,"[0.5894117000076418, 0.6257909048985941, 1.5894533443278003, 0.8996381600497187, -1.3905362157486785, -1.062571818113704]",0.2292
15,De_Jong,"[-0.16974076481029177, 0.9571158708930749, -1.5953059605474924, 1.489670394647244, -0.9728543369432243, 1.0046042734742358]",0.102
16,Fractal_Dream,"[-0.5844712362653837, 0.8890691815034484, -1.2341305957630104, 1.7624796232361666, 0.6308998383145576, -1.6378468876749102]",0.2629
17,De_Jong,"[-0.9506743035914134, 0.36658249541191523, 1.9349629909046606, -1.3999352020548392, -1.6364379753573046, 1.9603413073669196]",0.6377
18,Clifford,"[-0.8462273601543686, -0.161754324672847, -1.6275863471882355, -1.6097910884383757, 0.9929651546518978, 1.4794906418679572]",0.4001
19,De_Jong,"[-0.3776603416720763, -0.8247808110331953, -0.3834638551064229, 1.9662756578732927, 1.042590868993515, -1.5745969781534424]",0.5153
20,Clifford,"[0.3604467850519999, -0.9719123684128415, -1.6358802268233203, -1.9350333147832939, 0.17967419757290193, 1.9277069985532735]",0.2268
21,Hopalong1,"[0.7395092457256167, -0.9059846604087614, -0.6356977095556378, 0.9948228108405699]",0.1543
22,Hopalong1,"[-0.3105182101733568, 0.8773747331200816, 0.3505258536882052, -0.653467117935743]",0.1656
23,Fractal_Dream,"[-0.6153671920439532, -0.5722474259470756, 1.312852977015328, 1.503392712319235, -1.437199925250721, 0.6008715937689488]",0.5144
24,Hopalong1,"[-0.07958514687224638, -0.4190327706701089, 0.37887474723361714, 0.9334886769836277]",0.2467
25,Hopalong1,"[-0.541317010982439, -0.08335478083791092, -0.10374151792142938, 0.4193179738671329]",0.2913
26,Hopalong1,"[-0.36355283006856953, -0.33002679817814595, 0.6813302440649049, -0.5614635860983272]",0.2028
27,Fractal_Dream,"[0.7080310076872232, 0.5986381998669192, -1.325342137859093, 1.4458030353126357, -1.637094597573812, -1.8703152882285248]",0.3132
28,Clifford,"[0.897978010431111, 0.6756566260288832, -1.330582125631968, 1.3203508460875257, 1.281566960890312, -0.3595143401819909]",0.2453
29,Hopalong1,"[-0.14036169988308256, -0.8143440423137873, -0.43784499070959004, -0.9751524945969852]",0.3381
30,Hopalong1,"[-0.48494956976727166, -0.9445371608493836, 0.8408866550609657, 0.9189356376455762]",0.1138
31,Fractal_Dream,"[-0.4047041032437142, 0.6596588393174163, 1.556434958443925, 1.9231708207342226, -0.5124156564625326, 1.2410333339592108]",0.527
32,Hopalong1,"[-0.09689889547891695, 0.47294986194308275, 0.4869575947008644, 0.19193675027432167]",0.0975
33,De_Jong,"[-0.5040048545678859, -0.6927002134060105, 1.8328029301946276, -0.3550124511985375, 1.8755954628429996, 0.8875396707976888]",0.2316
